gene_id	limma_logFC	limma_AveExpr	limma_t	limma_pvalue	limma_padj	limma_B	ensembl_gene_id	limma_significant
ENSG00000154146	1.4173327225485943	6.4967087536894965	4.923498954770905	2.0363502728326953e-5	2.4967425084296524e-4	2.1237328885213405	ENSG00000154146	upregulated
ENSG00000211899	1.4638858986637793	10.660021306683205	4.91499359738232	2.0689122175711342e-5	2.5252901901955333e-4	2.249364492515838	ENSG00000211899	upregulated
ENSG00000105971	2.1240549149729624	0.001767399620423712	4.905525343791983	2.0742522596544082e-5	2.527397191042917e-4	2.742208596498174	ENSG00000105971	upregulated
ENSG00000275713	1.9712294890519233	1.5283282664504307	4.9061070342709	2.0949022443336224e-5	2.546923615413031e-4	2.6461203837130665	ENSG00000275713	upregulated
ENSG00000011105	1.831472536255641	0.06838775810341524	4.892030407092848	2.1277754802591018e-5	2.5782654452202085e-4	2.713855492354945	ENSG00000011105	upregulated
ENSG00000136231	1.3731051949162965	1.1908714699433545	4.888360862338787	2.1490018387819654e-5	2.595873716472608e-4	2.6410095661482655	ENSG00000136231	upregulated
ENSG00000186193	1.3936919130460144	2.771109948328948	4.892504691780965	2.1671055833817112e-5	2.6116400620241134e-4	2.467305219720952	ENSG00000186193	upregulated
ENSG00000029153	1.8412088980555996	1.211581678573508	4.890365876697495	2.179220182975531e-5	2.6233093996028356e-4	2.632274979554489	ENSG00000029153	upregulated
ENSG00000243238	3.173891403680808	3.2940738245726013	4.9002659079518764	2.183868536349528e-5	2.6257210076574555e-4	2.438350691179135	ENSG00000243238	upregulated
ENSG00000138798	2.037890294837301	1.8763704096435418	4.877324659795873	2.2918794001691862e-5	2.7386016561343666e-4	2.5282477688187734	ENSG00000138798	upregulated
ENSG00000179941	-1.167486003333479	1.5320458404988258	-4.861694670739545	2.3302488991479268e-5	2.7737651900064733e-4	2.5378827971015268	ENSG00000179941	downregulated
ENSG00000143546	1.5084607965251244	10.810420114399628	4.877100412370927	2.3336370825637424e-5	2.775668033018684e-4	2.138530616268419	ENSG00000143546	upregulated
ENSG00000142173	-1.0116759502412123	5.446769021858398	-4.8674350913569935	2.3545818805909938e-5	2.796291345173531e-4	2.029675887844985	ENSG00000142173	downregulated
ENSG00000165949	7.061526125459039	3.3802195507547217	4.871617388354336	2.3804394237246768e-5	2.824836684159888e-4	2.5089417465787207	ENSG00000165949	upregulated
ENSG00000279164	1.5005697117790624	0.6270563362843468	4.8511844871468845	2.4057765870547696e-5	2.852547855108081e-4	2.5722918293495454	ENSG00000279164	upregulated
ENSG00000124772	1.0532531619301952	5.075679087955024	4.8581485928257635	2.4215480310536716e-5	2.8670389283696525e-4	2.024525677886883	ENSG00000124772	upregulated
ENSG00000142494	-1.5410353351475257	0.07466309948320815	-4.841326599402107	2.4788187555271017e-5	2.9236866082300644e-4	2.5715797895598254	ENSG00000142494	downregulated
ENSG00000175643	1.1077075214935461	2.1499961339423868	4.8360532518598625	2.5187891818338458e-5	2.9554693867180927e-4	2.393390721662133	ENSG00000175643	upregulated
ENSG00000101335	2.7244432214066694	3.866220464286897	4.85093412373283	2.5331687493945204e-5	2.9674809141321006e-4	2.203079619957162	ENSG00000101335	upregulated
ENSG00000187951	1.0709974171155392	0.18037449893713553	4.826543426847274	2.5924910565785487e-5	3.0187339555205175e-4	2.5223219773200967	ENSG00000187951	upregulated
ENSG00000005187	-1.0058825250538401	2.305252075327212	-4.8220682126512955	2.6279094259072973e-5	3.0478678649670395e-4	2.339000275048349	ENSG00000005187	downregulated
ENSG00000254554	1.2250908898912405	1.142009357126609	4.814031937526333	2.692718145063454e-5	3.103660324031326e-4	2.428721849258336	ENSG00000254554	upregulated
