ensembl_gene_id	gene_symbol	entrez_id	gene_name	gene_label
ENSG00000175581	MRPL48	51642	mitochondrial ribosomal protein L48	MRPL48
ENSG00000175582	RAB6A	5870	RAB6A, member RAS oncogene family	RAB6A
ENSG00000175591	P2RY2	5029	purinergic receptor P2Y2	P2RY2
ENSG00000175592	FOSL1	8061	FOS like 1, AP-1 transcription factor subunit	FOSL1
ENSG00000175595	ERCC4	2072	ERCC excision repair 4, endonuclease catalytic subunit	ERCC4
ENSG00000175602	CCDC85B	11007	coiled-coil domain containing 85B	CCDC85B
ENSG00000175604	ENSG00000175604	NA	NA	ENSG00000175604
ENSG00000175606	TMEM70	54968	transmembrane protein 70	TMEM70
ENSG00000175611	ERCC6L2-AS1	100128782	ERCC6L2 antisense RNA 1	ERCC6L2-AS1
ENSG00000175634	RPS6KB2	6199	ribosomal protein S6 kinase B2	RPS6KB2
ENSG00000175643	RMI2	116028	RecQ mediated genome instability 2	RMI2
ENSG00000175662	TOM1L2	146691	target of myb1 like 2 membrane trafficking protein	TOM1L2
ENSG00000175691	ZNF77	58492	zinc finger protein 77	ZNF77
ENSG00000175701	MTLN	205251	mitoregulin	MTLN
ENSG00000175707	KDF1	126695	keratinocyte differentiation factor 1	KDF1
ENSG00000175711	B3GNTL1	146712	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase like 1	B3GNTL1
ENSG00000175727	MLXIP	22877	MLX interacting protein	MLXIP
ENSG00000175746	LINC02915	400360	long intergenic non-protein coding RNA 2915	LINC02915
ENSG00000175756	AURKAIP1	54998	aurora kinase A interacting protein 1	AURKAIP1
ENSG00000175764	TTLL11	158135	tubulin tyrosine ligase like 11	TTLL11
ENSG00000175768	TOMM5	401505	translocase of outer mitochondrial membrane 5	TOMM5
ENSG00000175779	LINC02694	400359	long intergenic non-protein coding RNA 2694	LINC02694
ENSG00000175782	SLC35E3	55508	solute carrier family 35 member E3	SLC35E3
ENSG00000175787	ZNF169	169841	zinc finger protein 169	ZNF169
ENSG00000175792	RUVBL1	8607	RuvB like AAA ATPase 1	RUVBL1
ENSG00000175806	MSRA	4482	methionine sulfoxide reductase A	MSRA
ENSG00000175826	CTDNEP1	23399	CTD nuclear envelope phosphatase 1	CTDNEP1
ENSG00000175854	SWI5	375757	SWI5 homologous recombination repair protein	SWI5
ENSG00000175857	GAPT	202309	GRB2 binding adaptor protein, transmembrane	GAPT
ENSG00000175866	BAIAP2	10458	BAR/IMD domain containing adaptor protein 2	BAIAP2
ENSG00000175893	ZDHHC21	340481	zinc finger DHHC-type palmitoyltransferase 21	ZDHHC21
ENSG00000175895	PLEKHF2	79666	pleckstrin homology and FYVE domain containing 2	PLEKHF2
ENSG00000175899	A2M	2	alpha-2-macroglobulin	A2M
ENSG00000175906	ARL4D	379	ADP ribosylation factor like GTPase 4D	ARL4D
ENSG00000175920	DOK7	285489	docking protein 7	DOK7
ENSG00000175928	LRRN1	57633	leucine rich repeat neuronal 1	LRRN1
ENSG00000175931	UBE2O	63893	ubiquitin conjugating enzyme E2 O	UBE2O
ENSG00000175938	ORAI3	93129	ORAI calcium release-activated calcium modulator 3	ORAI3
ENSG00000175970	UNC119B	84747	unc-119 lipid binding chaperone B	UNC119B
ENSG00000175984	DENND2C	163259	DENN domain containing 2C	DENND2C
ENSG00000176014	TUBB6	84617	tubulin beta 6 class V	TUBB6
ENSG00000176018	LYSMD3	116068	LysM domain containing 3	LYSMD3
ENSG00000176022	B3GALT6	126792	beta-1,3-galactosyltransferase 6	B3GALT6
ENSG00000176024	ZNF613	79898	zinc finger protein 613	ZNF613
ENSG00000176049	JAKMIP2	9832	janus kinase and microtubule interacting protein 2	JAKMIP2
ENSG00000176055	MBLAC2	153364	metallo-beta-lactamase domain containing 2	MBLAC2
ENSG00000176058	TPRN	286262	taperin	TPRN
ENSG00000176083	ZNF683	257101	zinc finger protein 683	ZNF683
ENSG00000176087	SLC35A4	113829	solute carrier family 35 member A4	SLC35A4
ENSG00000176092	CRYBG2	55057	crystallin beta-gamma domain containing 2	CRYBG2
ENSG00000176095	IP6K1	9807	inositol hexakisphosphate kinase 1	IP6K1
ENSG00000176101	SSNA1	8636	SS nuclear autoantigen 1	SSNA1
ENSG00000176102	CSTF3	1479	cleavage stimulation factor subunit 3	CSTF3
ENSG00000176105	YES1	7525	YES proto-oncogene 1, Src family tyrosine kinase	YES1
ENSG00000176108	CHMP6	79643	charged multivesicular body protein 6	CHMP6
ENSG00000176124	DLEU1	10301	deleted in lymphocytic leukemia 1	DLEU1
ENSG00000176125	UFSP1	402682	UFM1 specific peptidase 1 (inactive)	UFSP1
ENSG00000176142	TMEM39A	55254	transmembrane protein 39A	TMEM39A
ENSG00000176148	TCP11L1	55346	t-complex 11 like 1	TCP11L1
ENSG00000176155	CCDC57	284001	coiled-coil domain containing 57	CCDC57
ENSG00000176160	HSF5	124535	heat shock transcription factor 5	HSF5
ENSG00000176170	SPHK1	8877	sphingosine kinase 1	SPHK1
ENSG00000176171	BNIP3	664	BCL2 interacting protein 3	BNIP3
ENSG00000176182	MYPOP	339344	Myb related transcription factor, partner of profilin	MYPOP
ENSG00000176208	ATAD5	79915	ATPase family AAA domain containing 5	ATAD5
ENSG00000176209	SMIM19	114926	small integral membrane protein 19	SMIM19
ENSG00000176222	ZNF404	342908	zinc finger protein 404	ZNF404
ENSG00000176225	RTTN	25914	rotatin	RTTN
ENSG00000176236	RPP38-DT	221060	RPP38 divergent transcript	RPP38-DT
ENSG00000176248	ANAPC2	29882	anaphase promoting complex subunit 2	ANAPC2
ENSG00000176261	ZBTB8OS	339487	zinc finger and BTB domain containing 8 opposite strand	ZBTB8OS
ENSG00000176273	SLC35G1	159371	solute carrier family 35 member G1	SLC35G1
ENSG00000176293	ZNF135	7694	zinc finger protein 135	ZNF135
ENSG00000176340	COX8A	1351	cytochrome c oxidase subunit 8A	COX8A
ENSG00000176371	ZSCAN2	54993	zinc finger and SCAN domain containing 2	ZSCAN2
ENSG00000176386	CDC26	246184	cell division cycle 26	CDC26
ENSG00000176390	CRLF3	51379	cytokine receptor like factor 3	CRLF3
ENSG00000176393	RNPEP	6051	arginyl aminopeptidase	RNPEP
ENSG00000176396	EID2	163126	EP300 interacting inhibitor of differentiation 2	EID2
