gene_id	ensembl_gene_id	gene_symbol	entrez_id	gene_name	deseq2_log2FC	deseq2_padj	deseq2_significant	limma_logFC	limma_AveExpr	limma_pvalue	limma_padj	limma_significant	both_tested	same_logfc_direction	both_significant	both_upregulated	both_downregulated	method_agreement
ENSG00000168071	ENSG00000168071	CCDC88B	283234	coiled-coil domain containing 88B	-0.15768445085072869	0.1598287467123035	not_significant	-0.1853014008487479	7.832810240713194	0.061960963242103186	0.1289087243306533	not_significant	TRUE	TRUE	FALSE	FALSE	FALSE	not_significant_in_both
ENSG00000125868	ENSG00000125868	DSTN	11034	destrin, actin depolymerizing factor	0.17105485129776304	0.1598287467123035	not_significant	0.1778192836955208	6.073661051069729	0.09044821670522493	0.17295670584367387	not_significant	TRUE	TRUE	FALSE	FALSE	FALSE	not_significant_in_both
ENSG00000162378	ENSG00000162378	ZYG11B	79699	zyg-11 family member B, cell cycle regulator	-0.14995426644816184	0.15985637870706765	not_significant	-0.17255565371995818	4.952284539317685	0.05839875562966177	0.1231495173101365	not_significant	TRUE	TRUE	FALSE	FALSE	FALSE	not_significant_in_both
ENSG00000211667	ENSG00000211667	IGLV3-12	28802	immunoglobulin lambda variable 3-12	-0.34073119590121875	0.15985637870706765	not_significant	0.09251227494864189	-0.6663181828535909	0.8966571656203688	0.9319232459189891	not_significant	TRUE	FALSE	FALSE	FALSE	FALSE	not_significant_in_both
ENSG00000134698	ENSG00000134698	AGO4	192670	argonaute RISC component 4	-0.1834399591602631	0.15991370525623785	not_significant	-0.25458361903516114	6.287136830148663	0.027792468930334494	0.06921342214346307	not_significant	TRUE	TRUE	FALSE	FALSE	FALSE	not_significant_in_both
ENSG00000211716	ENSG00000211716	TRBV9	28586	T cell receptor beta variable 9	0.31449638350659925	0.15996089337446862	not_significant	0.1763567164902673	2.9464619024786503	0.5043119110620649	0.6286167114500222	not_significant	TRUE	TRUE	FALSE	FALSE	FALSE	not_significant_in_both
ENSG00000058453	ENSG00000058453	CROCC	9696	ciliary rootlet coiled-coil, rootletin	-0.18588306231872073	0.16019928833437527	not_significant	-0.22536467248732173	5.071897755190562	0.053085223282494924	0.11414638809218904	not_significant	TRUE	TRUE	FALSE	FALSE	FALSE	not_significant_in_both
ENSG00000120733	ENSG00000120733	KDM3B	51780	lysine demethylase 3B	-0.1025726191565976	0.16019928833437527	not_significant	-0.11744460591863337	6.218925437125721	0.0519011833175945	0.11214646882918511	not_significant	TRUE	TRUE	FALSE	FALSE	FALSE	not_significant_in_both
ENSG00000163702	ENSG00000163702	IL17RC	84818	interleukin 17 receptor C	-0.18615417032397855	0.16023347088977408	not_significant	-0.21299057728281445	3.6744692214732693	0.07512546299381516	0.14974886660250264	not_significant	TRUE	TRUE	FALSE	FALSE	FALSE	not_significant_in_both
ENSG00000280649	ENSG00000280649	ENSG00000280649	NA	NA	-0.21351497098875788	0.1602608672573677	not_significant	-0.24815382326274515	1.3355224909250307	0.08805828040514434	0.1693470463836068	not_significant	TRUE	TRUE	FALSE	FALSE	FALSE	not_significant_in_both
ENSG00000188266	ENSG00000188266	HYKK	123688	hydroxylysine kinase	0.31655059202946345	0.16034623970573478	not_significant	0.4303303871756534	-0.27190948459705916	0.10204304010388314	0.18993010344548514	not_significant	TRUE	TRUE	FALSE	FALSE	FALSE	not_significant_in_both
ENSG00000172469	ENSG00000172469	MANEA	79694	mannosidase endo-alpha	0.24478135200184187	0.16040777770041018	not_significant	0.25641907144021037	3.5569973420556718	0.13497589254919282	0.23585805469107488	not_significant	TRUE	TRUE	FALSE	FALSE	FALSE	not_significant_in_both
ENSG00000172340	ENSG00000172340	SUCLG2	8801	succinate-CoA ligase GDP-forming subunit beta	-0.13016407168340174	0.16051705705684052	not_significant	-0.14651803015943887	5.6949674587370644	0.06861878761338185	0.13974230513176897	not_significant	TRUE	TRUE	FALSE	FALSE	FALSE	not_significant_in_both
ENSG00000259379	ENSG00000259379	MTND5P32	107075254	MT-ND5 pseudogene 32	-0.3475630191763814	0.16054611729076526	not_significant	0.3012340256540485	-0.4720852196338316	0.6448880286008483	0.7465086504704184	not_significant	TRUE	FALSE	FALSE	FALSE	FALSE	not_significant_in_both
ENSG00000287837	ENSG00000287837	ENSG00000287837	NA	NA	-0.31144870582209816	0.16056924047616342	not_significant	-0.529100935108584	0.6036821864987649	0.043287385999499925	0.09727432003075105	not_significant	TRUE	TRUE	FALSE	FALSE	FALSE	not_significant_in_both
ENSG00000238201	ENSG00000238201	ENSG00000238201	NA	NA	0.36943423703548095	0.16059078329675053	not_significant	0.4463643843207764	-0.29193356084541805	0.277231527609323	0.4069305743206383	not_significant	TRUE	TRUE	FALSE	FALSE	FALSE	not_significant_in_both
ENSG00000197081	ENSG00000197081	IGF2R	3482	insulin like growth factor 2 receptor	-0.1939906704535916	0.16059078329675053	not_significant	-0.28339927411931054	7.30556848284211	0.028919361897586617	0.07141208454570426	not_significant	TRUE	TRUE	FALSE	FALSE	FALSE	not_significant_in_both
ENSG00000178773	ENSG00000178773	CPNE7	27132	copine 7	0.34222752784933563	0.16059078329675053	not_significant	0.21249928147805658	0.29649465399409625	0.47218044060103526	0.6005837816731225	not_significant	TRUE	TRUE	FALSE	FALSE	FALSE	not_significant_in_both
ENSG00000162711	ENSG00000162711	NLRP3	114548	NLR family pyrin domain containing 3	-0.3665406475235536	0.1606401960811967	not_significant	-0.3311061969872231	7.275461450407995	0.3642452893933845	0.49647986980326864	not_significant	TRUE	TRUE	FALSE	FALSE	FALSE	not_significant_in_both
ENSG00000204301	ENSG00000204301	NOTCH4	4855	notch receptor 4	-0.23016110054254252	0.1606401960811967	not_significant	-0.3248489420928973	3.4016728364597495	0.03593393963950465	0.08440639161119448	not_significant	TRUE	TRUE	FALSE	FALSE	FALSE	not_significant_in_both
ENSG00000273272	ENSG00000273272	ENSG00000273272	NA	NA	0.26908517773745877	0.16077513084183198	not_significant	0.2961873250503381	0.24548514785639786	0.14575256038276746	0.2499500105675491	not_significant	TRUE	TRUE	FALSE	FALSE	FALSE	not_significant_in_both
ENSG00000091536	ENSG00000091536	MYO15A	51168	myosin XVA	0.279708132346788	0.16079415549718906	not_significant	0.3708523401639021	1.2362134550343495	0.08237115171684535	0.16099385089192947	not_significant	TRUE	TRUE	FALSE	FALSE	FALSE	not_significant_in_both
ENSG00000173653	ENSG00000173653	RCE1	9986	Ras converting CAAX endopeptidase 1	0.12823948166571922	0.16082651631353964	not_significant	0.11615052094144751	5.410908522322647	0.1264160428473605	0.22405585928037494	not_significant	TRUE	TRUE	FALSE	FALSE	FALSE	not_significant_in_both
ENSG00000197635	ENSG00000197635	DPP4	1803	dipeptidyl peptidase 4	-0.2690728960190909	0.16105268925228883	not_significant	-0.4330317038596183	5.466620846152611	0.043030988389547165	0.09683845471878649	not_significant	TRUE	TRUE	FALSE	FALSE	FALSE	not_significant_in_both
