ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
R-HSA-983231	Factors involved in megakaryocyte development and platelet production	20/409	118/7708	3.240702913142086e-6	3.368016241872668e-5	2.6315482302206414e-5	KIF4A/KIF20A/KIF2C/KIFC1/KIF11/KIF15/KIF18B/CENPE/KIF23/HBD/GATA1/H3C10/PRKAR2B/TUBA1C/CABLES1/EHD3/TUBB1/HBB/GATA2/DOCK1	20
R-HSA-427413	NoRC negatively regulates rRNA expression	15/409	72/7708	4.101619166799284e-6	4.2126041560185594e-5	3.2914541425212833e-5	H2BC4/H2BC7/H2BC21/H2BC12/H2BC11/H2AJ/H2BC8/H4C8/H3C10/H2AC6/H2AC8/H4C9/H2BC9/H2BC5/SAP30	15
R-HSA-1538133	G0 and Early G1	9/409	26/7708	4.25553140138741e-6	4.31985920164094e-5	3.3752562400233065e-5	CCNA2/TOP2A/MYBL2/CDC6/CDC25A/CDK1/E2F1/CCNE2/CCNE1	9
R-HSA-983189	Kinesins	11/409	41/7708	6.1108867386796704e-6	6.131958761916497e-5	4.791112651741593e-5	KIF4A/KIF20A/KIF2C/KIFC1/KIF11/KIF15/KIF18B/CENPE/KIF23/TUBA1C/TUBB1	11
R-HSA-5250941	Negative epigenetic regulation of rRNA expression	15/409	75/7708	6.9897776965414895e-6	6.934177192137182e-5	5.417913812630246e-5	H2BC4/H2BC7/H2BC21/H2BC12/H2BC11/H2AJ/H2BC8/H4C8/H3C10/H2AC6/H2AC8/H4C9/H2BC9/H2BC5/SAP30	15
R-HSA-1474165	Reproduction	16/409	86/7708	9.234870744035669e-6	9.058474336565325e-5	7.077701055156848e-5	RAD51/H2BC4/H2BC7/H2BC21/H2BC12/H2BC11/H2AJ/H2BC8/H4C8/H3C10/H2AC6/BRCA1/H2AC8/H4C9/H2BC9/H2BC5	16
R-HSA-73864	RNA Polymerase I Transcription	15/409	77/7708	9.80872578369862e-6	9.514464010187661e-5	7.433981646592638e-5	H2BC4/H2BC7/H2BC21/H2BC12/H2BC11/H2AJ/H2BC8/H4C8/H3C10/H2AC6/H2AC8/H4C9/H2BC9/H2BC5/CAVIN1	15
R-HSA-1474244	Extracellular matrix organization	24/409	171/7708	1.0528255532034356e-5	1.0100183603808783e-4	7.89162473656248e-5	SDC1/SPARC/ITGA2B/PLOD2/ITGA1/ITGB5/ITGB3/LAMC1/LTBP1/COL24A1/ITGA7/COL23A1/FN1/ELANE/CTSD/VWF/ITGA9/HTRA1/JAM3/ITGA2/PDGFA/FBN1/SDC2/ITGB8	24
R-HSA-68875	Mitotic Prophase	18/409	107/7708	1.121725990143125e-5	1.0530545070707103e-4	8.227881118729372e-5	PLK1/CCNB2/CCNB1/CDK1/H2BC4/H2BC7/H2BC21/H2BC12/H2BC11/H2AJ/H2BC8/H4C8/H3C10/H2AC6/H2AC8/H4C9/H2BC9/H2BC5	18
R-HSA-202733	Cell surface interactions at the vascular wall	17/409	97/7708	1.1218106432712034e-5	1.0530545070707103e-4	8.227881118729372e-5	JCHAIN/SDC1/CAV1/GAS6/SELP/PF4/GRB14/PF4V1/GP6/ITGB3/ESAM/PROS1/FN1/GPC1/JAM3/SDC2/SLC7A11	17
R-HSA-69273	Cyclin A/B1/B2 associated events during G2/M transition	8/409	23/7708	1.4215435423280806e-5	1.3202207579281002e-4	1.0315343957767037e-4	PLK1/CCNA2/FOXM1/PKMYT1/CCNB2/CDC25A/CCNB1/CDK1	8
R-HSA-176974	Unwinding of DNA	6/409	12/7708	1.5132387608262922e-5	1.3761014981264095e-4	1.0751959616397341e-4	GINS2/CDC45/MCM2/MCM4/MCM6/GINS1	6
R-HSA-75892	Platelet Adhesion to exposed collagen	6/409	12/7708	1.5132387608262922e-5	1.3761014981264095e-4	1.0751959616397341e-4	GP9/ITGA1/GP6/GP1BA/VWF/ITGA2	6
