gene_id	ensembl_gene_id	gene_symbol	entrez_id	gene_name	deseq2_log2FC	deseq2_padj	deseq2_significant	limma_logFC	limma_AveExpr	limma_pvalue	limma_padj	limma_significant	both_tested	same_logfc_direction	both_significant	both_upregulated	both_downregulated	method_agreement	deseq2_top100	limma_top100
ENSG00000157456	ENSG00000157456	CCNB2	9133	cyclin B2	3.3099844748453098	3.405282088716123e-31	upregulated	3.2599245082732002	2.211588100455863	4.115885355782639e-10	9.672330586089201e-8	upregulated	TRUE	TRUE	TRUE	TRUE	FALSE	both_upregulated	TRUE	TRUE
ENSG00000167513	ENSG00000167513	CDT1	81620	chromatin licensing and DNA replication factor 1	2.6794793793643934	3.9103401076283032e-31	upregulated	2.606900188799469	1.9392176257874312	9.219781096281647e-11	4.310463157202417e-8	upregulated	TRUE	TRUE	TRUE	TRUE	FALSE	both_upregulated	TRUE	TRUE
ENSG00000211896	ENSG00000211896	IGHG1	3500	immunoglobulin heavy constant gamma 1 (G1m marker)	5.138355737315439	8.098746785222426e-31	upregulated	5.234464342953397	9.403227831038638	8.208449833762401e-13	3.871468052704879e-9	upregulated	TRUE	TRUE	TRUE	TRUE	FALSE	both_upregulated	TRUE	TRUE
ENSG00000112984	ENSG00000112984	KIF20A	10112	kinesin family member 20A	3.380532870518873	2.2934903948638232e-30	upregulated	3.1753266326216267	1.0156787678971406	4.601397588708863e-10	1.0484116581011367e-7	upregulated	TRUE	TRUE	TRUE	TRUE	FALSE	both_upregulated	TRUE	TRUE
ENSG00000135476	ENSG00000135476	ESPL1	9700	extra spindle pole bodies like 1, separase	2.719038726249161	2.2934903948638232e-30	upregulated	2.7883560695713188	1.358592925803228	9.984443720708907e-13	3.871468052704879e-9	upregulated	TRUE	TRUE	TRUE	TRUE	FALSE	both_upregulated	TRUE	TRUE
ENSG00000187837	ENSG00000187837	H1-2	3006	H1.2 linker histone, cluster member	1.7791348199876558	5.9989163585727695e-30	upregulated	1.735879277200226	4.4199041190000035	3.974728193260829e-13	3.2136189190839637e-9	upregulated	TRUE	TRUE	TRUE	TRUE	FALSE	both_upregulated	TRUE	TRUE
ENSG00000131747	ENSG00000131747	TOP2A	7153	DNA topoisomerase II alpha	3.059314733060484	1.5335481989996907e-29	upregulated	3.040732751631453	3.651986402380815	4.8590524149328333e-11	3.269185012964971e-8	upregulated	TRUE	TRUE	TRUE	TRUE	FALSE	both_upregulated	TRUE	TRUE
ENSG00000065328	ENSG00000065328	MCM10	55388	minichromosome maintenance 10 replication initiation factor	3.3919081018333586	2.609759424674276e-29	upregulated	3.2967189828024197	1.5389432559194127	5.732434048534726e-9	5.55687825579835e-7	upregulated	TRUE	TRUE	TRUE	TRUE	FALSE	both_upregulated	TRUE	FALSE
ENSG00000101057	ENSG00000101057	MYBL2	4605	MYB proto-oncogene like 2	3.315228648121862	3.1073615358072086e-29	upregulated	3.3956008887342652	4.865826543165534	3.117348654640718e-11	2.544740928077765e-8	upregulated	TRUE	TRUE	TRUE	TRUE	FALSE	both_upregulated	TRUE	TRUE
ENSG00000131153	ENSG00000131153	GINS2	51659	GINS complex subunit 2	2.6994562889858984	3.8949998876695255e-29	upregulated	2.6025017352961237	2.1579867663282393	2.535822820273684e-10	6.900107358323655e-8	upregulated	TRUE	TRUE	TRUE	TRUE	FALSE	both_upregulated	TRUE	TRUE
ENSG00000122952	ENSG00000122952	ZWINT	11130	ZW10 interacting kinetochore protein	2.2718319844592463	7.387238157828101e-29	upregulated	2.1520722706193665	3.710049975702194	2.3730338040645025e-10	6.572456125185792e-8	upregulated	TRUE	TRUE	TRUE	TRUE	FALSE	both_upregulated	TRUE	TRUE
ENSG00000211945	ENSG00000211945	IGHV1-18	28468	immunoglobulin heavy variable 1-18	3.542766988412914	1.6317793409890612e-28	upregulated	3.571164906130026	4.795988973461869	3.740965253496744e-10	9.065995481521016e-8	upregulated	TRUE	TRUE	TRUE	TRUE	FALSE	both_upregulated	TRUE	TRUE
ENSG00000075218	ENSG00000075218	GTSE1	51512	G2 and S-phase expressed 1	2.99769944453504	2.665720452831695e-28	upregulated	2.888642082703164	0.9716422013048335	6.672673611791729e-10	1.277693428628268e-7	upregulated	TRUE	TRUE	TRUE	TRUE	FALSE	both_upregulated	TRUE	TRUE
ENSG00000115163	ENSG00000115163	CENPA	1058	centromere protein A	3.4859958383491145	3.0385698586685047e-28	upregulated	3.3215259868766203	0.14286229710948	9.727028401165995e-11	4.310463157202417e-8	upregulated	TRUE	TRUE	TRUE	TRUE	FALSE	both_upregulated	TRUE	TRUE
ENSG00000184661	ENSG00000184661	CDCA2	157313	cell division cycle associated 2	3.2669704454049655	7.964769088402909e-28	upregulated	3.2554964018255346	1.0638692012994806	1.0514811042595656e-9	1.716681255480617e-7	upregulated	TRUE	TRUE	TRUE	TRUE	FALSE	both_upregulated	TRUE	TRUE
