gene_id	ensembl_gene_id	gene_symbol	entrez_id	gene_name	baseMean	log2FoldChange	lfcSE	pvalue	padj	significant
ENSG00000160539	ENSG00000160539	PLPP7	84814	phospholipid phosphatase 7 (inactive)	35.25450090258652	-0.3584977290614715	0.2582960052766504	0.06413619207150158	0.12939026262083628	not_significant
ENSG00000048405	ENSG00000048405	ZNF800	168850	zinc finger protein 800	980.0205595826508	-0.1605771954237416	0.09016681156178943	0.06416544984510537	0.1294324524772512	not_significant
ENSG00000240859	ENSG00000240859	LINC03014	100507642	long intergenic non-protein coding RNA 3014	105.9276363368407	0.32595161251295385	0.21839888915724512	0.06428005155844073	0.1296467619858798	not_significant
ENSG00000240038	ENSG00000240038	AMY2B	280	amylase alpha 2B	147.6429739962528	-0.22227770000000427	0.13041271025038426	0.0643172412986607	0.12970490346407848	not_significant
ENSG00000175938	ENSG00000175938	ORAI3	93129	ORAI calcium release-activated calcium modulator 3	265.52364180475706	0.24634270333458688	0.14773411660250874	0.0644932633431507	0.13004296859753867	not_significant
ENSG00000213563	ENSG00000213563	C8orf82	414919	chromosome 8 open reading frame 82	428.95211148050834	0.1341817556361409	0.07444510514175638	0.0645549899449843	0.13015051267993066	not_significant
ENSG00000120533	ENSG00000120533	ENY2	56943	ENY2 transcription and export complex 2 subunit	1010.2169398704984	0.13199001333522947	0.07314463693593289	0.06462965394287225	0.13028410874109028	not_significant
ENSG00000055609	ENSG00000055609	KMT2C	58508	lysine methyltransferase 2C	2604.453372361466	-0.11479054436055114	0.06326562016909149	0.06465176438924825	0.1303117434278415	not_significant
ENSG00000163013	ENSG00000163013	FBXO41	150726	F-box protein 41	202.4494263727962	-0.20417800244750103	0.11835575730004026	0.0647549086565865	0.13049075444151825	not_significant
ENSG00000121064	ENSG00000121064	SCPEP1	59342	serine carboxypeptidase 1	3934.166984272495	0.2732615663897563	0.16992621436192612	0.06475740405779276	0.13049075444151825	not_significant
ENSG00000240954	ENSG00000240954	RPL4P1	650808	ribosomal protein L4 pseudogene 1	13.742465897171776	-0.40632998818388816	0.34719272885465396	0.06477067886933026	0.13050054939767633	not_significant
ENSG00000147421	ENSG00000147421	HMBOX1	79618	homeobox containing 1	1025.881026232616	-0.21872665929267557	0.12816038838514388	0.06479067251292779	0.13051874870953292	not_significant
ENSG00000136854	ENSG00000136854	STXBP1	6812	syntaxin binding protein 1	71.47733080659886	-0.2528978001233818	0.15321738917668956	0.06480337159190902	0.13051874870953292	not_significant
ENSG00000119616	ENSG00000119616	FCF1	51077	FCF1 rRNA-processing protein	258.5488680251263	-0.21506282461899867	0.12559049566501734	0.06480495704784739	0.13051874870953292	not_significant
ENSG00000213889	ENSG00000213889	PPM1N	147699	protein phosphatase, Mg2+/Mn2+ dependent 1N (putative)	148.90217682204508	-0.2741040333604117	0.17050143496644296	0.06486804887410272	0.13062885458807233	not_significant
ENSG00000144741	ENSG00000144741	SLC25A26	115286	solute carrier family 25 member 26	408.7184044162674	-0.17061562782091627	0.09663140026355813	0.06488889640747668	0.13063691371754454	not_significant
ENSG00000234420	ENSG00000234420	ZNF37BP	100129482	zinc finger protein 37B, pseudogene	406.77339408514183	-0.1858214805461956	0.10618790800089324	0.06488677555362303	0.13063691371754454	not_significant
ENSG00000134884	ENSG00000134884	ARGLU1	55082	arginine and glutamate rich 1	3908.16304450393	-0.1245655384983337	0.06903689434257947	0.06491126911360663	0.13066499467255532	not_significant
ENSG00000268996	ENSG00000268996	MAN1B1-DT	100289341	MAN1B1 divergent transcript	84.27036755516315	0.16015191336654183	0.09010677897645648	0.06495694476750315	0.1307399705870716	not_significant
ENSG00000221946	ENSG00000221946	FXYD7	53822	FXYD domain containing ion transport regulator 7	16.910604082249183	-0.3436159175143542	0.24000823813966057	0.06498797751834354	0.13078545884384432	not_significant
ENSG00000177889	ENSG00000177889	UBE2N	7334	ubiquitin conjugating enzyme E2 N	1880.4963957027992	0.13080926319857789	0.07262357550532324	0.06506583455299758	0.13092515489322684	not_significant
ENSG00000158792	ENSG00000158792	SPATA2L	124044	spermatogenesis associated 2 like	515.3878189564804	-0.31208450557928386	0.20301031032375985	0.06509296503772585	0.13096275622455936	not_significant
ENSG00000196586	ENSG00000196586	MYO6	4646	myosin VI	173.14906366708988	-0.30909092055407783	0.20248567983901392	0.06511472834078785	0.1309895507867211	not_significant
ENSG00000115355	ENSG00000115355	CCDC88A	55704	coiled-coil domain containing 88A	707.7233775960841	0.21844119015394295	0.12796256636804892	0.06520643085653004	0.13115701498959678	not_significant
ENSG00000166016	ENSG00000166016	ABTB2	25841	ankyrin repeat and BTB domain containing 2	47.86877954931437	0.3366086432864987	0.23210414750461889	0.06523791117625048	0.13118276091544182	not_significant
ENSG00000118971	ENSG00000118971	CCND2	894	cyclin D2	1808.746478958472	-0.16646154255698686	0.09413687008767709	0.06523417933298285	0.13118276091544182	not_significant
ENSG00000137842	ENSG00000137842	TMEM62	80021	transmembrane protein 62	277.722166358443	0.1678145314785459	0.09506474716409112	0.06524460462293476	0.13118276091544182	not_significant
ENSG00000158669	ENSG00000158669	GPAT4	137964	glycerol-3-phosphate acyltransferase 4	1223.213342485219	-0.10241471107035292	0.05642119034122352	0.06526470561602717	0.13120616773876623	not_significant
ENSG00000163874	ENSG00000163874	ZC3H12A	80149	zinc finger CCCH-type containing 12A	1776.821733559099	-0.4058886177856383	0.35700926817867223	0.06533633647942874	0.13133314914410832	not_significant
ENSG00000151729	ENSG00000151729	SLC25A4	291	solute carrier family 25 member 4	341.43431800047307	0.26568534697831325	0.16498150154161628	0.0653772635410402	0.13139838765343184	not_significant
ENSG00000160208	ENSG00000160208	RRP1B	23076	ribosomal RNA processing 1B	1059.8596474555611	-0.1345982428221708	0.07498563289153694	0.06543924317583563	0.13150591625514518	not_significant
ENSG00000148396	ENSG00000148396	SEC16A	9919	SEC16 homolog A, endoplasmic reticulum export factor	1905.157829412765	-0.1884681714754534	0.10817210226103711	0.06548934307101008	0.13158644170427022	not_significant
ENSG00000151062	ENSG00000151062	CACNA2D4	93589	calcium voltage-gated channel auxiliary subunit alpha2delta 4	228.37344710503027	-0.25472888351417716	0.15524208853995602	0.0654962817509327	0.13158644170427022	not_significant
ENSG00000147383	ENSG00000147383	NSDHL	50814	NAD(P) dependent steroid dehydrogenase-like	302.2589806945757	0.15688875534594332	0.08827560666241073	0.06555644413216227	0.13169025365753617	not_significant
ENSG00000173542	ENSG00000173542	MOB1B	92597	MOB kinase activator 1B	148.87140982029382	0.29470380825029613	0.18940065338337037	0.06556932582197968	0.1316990732321814	not_significant
ENSG00000131149	ENSG00000131149	GSE1	23199	Gse1 coiled-coil protein	457.4115922296897	-0.1593548321136476	0.08998550503852125	0.06565502621931667	0.13185246309274626	not_significant
ENSG00000176809	ENSG00000176809	LRRC37A3	374819	leucine rich repeat containing 37 member A3	19.387850751138373	0.2545077812093664	0.15491353709431513	0.06566269664270613	0.13185246309274626	not_significant
ENSG00000090470	ENSG00000090470	PDCD7	10081	programmed cell death 7	466.3748622617603	-0.16199905415471413	0.09170352381068449	0.06600133141896204	0.13251529453826552	not_significant
ENSG00000241170	ENSG00000241170	ENSG00000241170	NA	NA	28.416935197185655	0.2868211801810203	0.18210343541858	0.0660163688437604	0.13252833041246748	not_significant
ENSG00000166762	ENSG00000166762	CATSPER2	117155	cation channel sperm associated 2	28.019700623264832	-0.3027668295569488	0.19709406329246945	0.06602630932511878	0.13253113208652675	not_significant
ENSG00000012963	ENSG00000012963	UBR7	55148	ubiquitin protein ligase E3 component n-recognin 7	719.4955568173764	0.12033858297422104	0.06676007447794342	0.06603757391843539	0.13253659051176667	not_significant
